id;id_grado;id_facultad
1;1;1
2;2;1
3;30;1
4;1;15
5;2;15
6;28;15
7;34;15
8;35;15
9;36;15
10;104;15
11;1;32
12;2;32
13;3;2
14;17;2
15;3;3
16;4;3
17;16;3
18;3;4
19;16;4
20;37;4
21;111;4
22;112;4
23;113;4
24;124;4
25;3;5
26;18;5
27;5;6
28;68;6
29;111;6
30;112;6
31;114;6
32;120;6
33;127;6
34;8;7
35;30;7
36;34;7
37;13;8
38;36;8
39;16;10
40;17;10
41;17;11
42;24;13
43;26;12
44;135;12
45;136;12
46;163;12
47;14;12
48;178;12
49;179;12
50;188;12
51;195;12
52;201;12
53;212;12
54;27;14
55;37;14
56;38;14
57;111;14
58;112;14
59;29;16
60;39;16
61;44;16
62;45;16
63;46;16
64;48;16
65;51;16
66;30;17
67;32;17
68;41;17
69;43;17
70;45;17
71;47;17
72;51;17
73;30;18
74;31;18
75;30;19
76;51;19
77;159;19
78;32;20
79;34;20
80;35;20
81;33;21
82;35;21
83;36;21
84;104;21
85;34;22
86;37;22
87;40;22
88;45;22
89;34;9
90;35;9
91;37;9
92;111;9
93;112;9
94;114;9
95;119;9
96;34;23
97;36;24
98;52;24
99;53;24
100;59;24
101;66;24
102;68;24
103;70;24
104;72;24
105;74;24
106;86;24
107;91;24
108;99;24
109;108;24
110;111;24
111;135;24
112;136;24
113;144;24
114;149;24
115;151;24
116;159;24
117;178;24
118;38;25
119;128;25
120;131;25
121;132;25
122;135;25
123;136;25
124;144;25
125;147;25
126;155;25
127;177;25
128;42;26
129;42;27
130;45;27
131;49;28
132;50;29
133;111;29
134;51;30
135;70;30
136;85;30
137;86;30
138;99;30
139;112;30
140;51;31
141;52;33
142;53;33
143;52;34
144;53;34
145;54;34
146;55;34
147;52;35
148;53;35
149;52;36
150;53;36
151;70;36
152;85;36
153;86;36
154;125;36
155;52;37
156;53;37
157;52;124
158;53;124
159;149;124
160;154;124
161;52;125
162;53;125
163;149;125
164;151;125
165;153;125
166;155;125
167;156;125
168;159;125
169;52;126
170;53;126
171;149;126
172;150;126
173;151;126
174;153;126
175;154;126
176;155;126
177;156;126
178;159;126
179;52;127
180;53;127
181;56;38
182;85;38
183;86;38
184;91;38
185;57;39
186;69;39
187;72;39
188;73;39
189;57;40
190;60;40
191;70;40
192;58;41
193;68;41
194;72;41
195;85;41
196;86;41
197;91;41
198;111;41
199;112;41
200;114;41
201;59;42
202;66;42
203;102;42
204;59;43
205;62;43
206;66;43
207;60;44
208;72;44
209;61;45
210;66;45
211;63;46
212;67;51
213;68;52
214;75;52
215;68;47
216;72;47
217;68;53
218;72;53
219;74;53
220;91;53
221;95;53
222;99;53
223;123;53
224;68;54
225;68;55
226;91;55
227;70;50
228;71;50
229;72;50
230;125;50
231;70;56
232;71;49
233;111;49
234;115;49
235;127;49
236;71;57
237;72;58
238;72;59
239;72;60
240;72;61
241;72;62
242;75;63
243;80;63
244;91;63
245;75;64
246;76;64
247;91;64
248;126;64
249;75;65
250;80;65
251;75;66
252;79;66
253;91;66
254;75;67
255;80;67
256;81;67
257;92;67
258;75;68
259;85;68
260;86;68
261;100;68
262;85;70
263;87;70
264;85;71
265;85;72
266;86;72
267;87;72
268;159;72
269;85;73
270;86;74
271;86;75
272;86;76
273;86;77
274;88;77
275;88;78
276;91;79
277;100;79
278;91;80
279;93;69
280;94;82
281;181;82
282;101;85
283;103;85
284;109;87
285;110;88
286;111;89
287;112;89
288;114;89
289;111;90
290;111;91
291;112;91
292;114;91
293;119;91
294;112;92
295;114;92
296;113;93
297;125;94
298;125;95
299;126;96
300;126;97
301;126;98
302;126;99
303;126;100
304;127;101
305;128;102
306;137;102
307;138;102
308;147;102
309;148;102
310;128;103
311;128;104
312;131;104
313;133;104
314;185;104
315;186;104
316;189;104
317;190;104
318;129;110
319;130;110
320;132;110
321;176;110
322;177;110
323;183;110
324;131;111
325;132;112
326;132;113
327;132;106
328;149;106
329;150;106
330;151;106
331;152;106
332;153;106
333;154;106
334;155;106
335;159;106
336;161;106
337;134;114
338;171;114
339;172;114
340;173;114
341;135;115
342;136;115
343;162;115
344;182;115
345;185;115
346;186;115
347;188;115
348;135;116
349;136;116
350;144;116
351;146;116
352;147;116
353;135;117
354;136;117
355;139;118
356;140;118
357;143;119
358;144;120
359;145;120
360;144;121
361;144;122
362;146;123
363;147;123
364;149;128
365;154;128
366;149;129
367;151;129
368;149;130
369;154;130
370;155;130
371;159;130
372;149;131
373;151;131
374;149;132
375;160;132
376;149;133
377;151;133
378;154;133
379;156;133
380;150;134
381;150;105
382;150;135
383;150;107
384;153;107
385;178;107
386;150;136
387;151;136
388;154;136
389;156;136
390;159;136
391;150;108
392;151;137
393;152;138
394;154;139
395;155;139
396;160;139
397;155;140
398;156;141
399;156;142
400;157;143
401;157;144
402;159;145
403;159;146
